chain_requested,name,brand,operator,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
MAX,Maxi ICA Stormarknad Umeå,Maxi ICA Stormarknad,,,,,,Sweden,"63.797566,20.302819",coordinates_only,63.797566,20.302819,node,2354169189,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Alingsås,Maxi ICA Stormarknad,,,,,,Sweden,"57.9244128,12.5449399",coordinates_only,57.9244128,12.5449399,node,2843036385,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Haninge,Maxi ICA Stormarknad,,,,,,Sweden,"59.1813721,18.1576055",coordinates_only,59.1813721,18.1576055,node,3350546423,OpenStreetMap via Overpass API
MAX,Maxi ICA Stornarknad Välsviken,Maxi ICA Stormarknad,ICA,Rävbergsvägen,2,,,Sweden,Rävbergsvägen 2 Sweden,usable,59.3963563,13.5807351,node,3785981490,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Flemingsberg,Maxi ICA Stormarknad,,Ebba Bååts torg,40,141 51,Huddinge,Sweden,Ebba Bååts torg 40 141 51 Huddinge Sweden,strict,59.2185844,17.9488026,node,4616665702,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Ljungby,Maxi ICA Stormarknad,,,,,,Sweden,"56.8346418,13.9441564",coordinates_only,56.8346418,13.9441564,node,4725936849,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Högsbo,Maxi ICA Stormarknad,,,,42132,,Sweden,42132 Sweden,usable,57.651001,11.9494344,node,5060861816,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Barkarbystaden,Maxi ICA Stormarknad,,Majorsvägen,4,17744,Järfälla,Sweden,Majorsvägen 4 17744 Järfälla Sweden,strict,59.4138518,17.8634809,node,5280103753,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Partille,Maxi ICA Stormarknad,,,,,,Sweden,"57.736909,12.1056635",coordinates_only,57.736909,12.1056635,node,5310468103,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad,Maxi ICA Stormarknad,,,,,,Sweden,"55.6390456,13.0847657",coordinates_only,55.6390456,13.0847657,node,6250391760,OpenStreetMap via Overpass API
MAX,Ica Maxi,Maxi ICA Stormarknad,,,,,,Sweden,"57.8126711,13.421854",coordinates_only,57.8126711,13.421854,node,7446348321,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Bromma,Maxi ICA Stormarknad,,Köpsvängen,4,16867,Bromma,Sweden,Köpsvängen 4 16867 Bromma Sweden,strict,59.3537504,17.9562145,node,9112053103,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Kungälv,Maxi ICA Stormarknad,ICA,,,,,Sweden,"57.8744514,11.9738259",coordinates_only,57.8744514,11.9738259,node,10890010743,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad,Maxi ICA Stormarknad,,,,,,Sweden,"58.6156029,16.1619454",coordinates_only,58.6156029,16.1619454,node,11737705031,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Solna,Maxi ICA Stormarknad,ICA,,,,,Sweden,"59.358382,17.980286",coordinates_only,59.358382,17.980286,node,12097728305,OpenStreetMap via Overpass API
MAX,ICA Maxi Stormarknad Arninge,Maxi ICA Stormarknad,,Kundvägen,1E,187 66,Täby,Sweden,Kundvägen 1E 187 66 Täby Sweden,strict,59.4621163,18.1297183,node,13045337017,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Landskrona,Maxi ICA Stormarknad,,Österleden,183 B,26151,Landskrona,Sweden,Österleden 183 B 26151 Landskrona Sweden,strict,55.8739087,12.8578951,node,13539753098,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Botkyrka,Maxi ICA Stormarknad,,,,,,Sweden,"59.2372975,17.8315008",coordinates_only,59.2372975,17.8315008,way,16753808,OpenStreetMap via Overpass API
MAX,ICA Maxi,Maxi ICA Stormarknad,,Ingenjörsgatan,1,80293,Gävle,Sweden,Ingenjörsgatan 1 80293 Gävle Sweden,strict,60.6468354,17.1470181,way,27038715,OpenStreetMap via Overpass API
MAX,ICA Maxi Trelleborg,ICA Maxi,,Strandridaregatan,10,,Trelleborg,Sweden,Strandridaregatan 10 Trelleborg Sweden,usable,55.373904,13.1321285,way,27790303,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad,Maxi ICA Stormarknad,,,,,,Sweden,"57.771888,14.1766979",coordinates_only,57.771888,14.1766979,way,28785792,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Mellbystrand,Maxi ICA Stormarknad,,,,,Mellbystrand,Sweden,Mellbystrand Sweden,usable,56.5033816,12.9563751,way,36791769,OpenStreetMap via Overpass API
MAX,Ica Maxi Stormarknad,Maxi ICA Stormarknad,ICA,,,,,Sweden,"63.1926248,14.6505955",coordinates_only,63.1926248,14.6505955,way,41673538,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Linköping,Maxi ICA Stormarknad,,Västra Svedengatan,12,582 73,Linköping,Sweden,Västra Svedengatan 12 582 73 Linköping Sweden,strict,58.4324544,15.5923627,way,43338197,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad,Maxi ICA Stormarknad,ICA,Bataljonsvägen,11,791 40,Falun,Sweden,Bataljonsvägen 11 791 40 Falun Sweden,strict,60.6070163,15.6587571,way,47848884,OpenStreetMap via Overpass API
MAX,ICA Maxi Stormarknad,Maxi ICA Stormarknad,ICA,Storhedsvägen,14,97345,Luleå,Sweden,Storhedsvägen 14 97345 Luleå Sweden,strict,65.6175441,22.0487975,way,62031313,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Helsingborg,Maxi ICA Stormarknad,,Regementsvägen,7,254 57,Helsingborg,Sweden,Regementsvägen 7 254 57 Helsingborg Sweden,strict,56.0655065,12.719706,way,62323566,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Skellefteå,Maxi ICA Stormarknad,,Varugatan,28,931 76,Skellefteå,Sweden,Varugatan 28 931 76 Skellefteå Sweden,strict,64.7658672,21.0255614,way,68881985,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Borås,Maxi ICA Stormarknad,,Trandögatan,16,50433,Borås,Sweden,Trandögatan 16 50433 Borås Sweden,strict,57.7106271,12.9422355,way,85043210,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Oskarshamn,Maxi ICA Stormarknad,,Döderhultsvägen,26,57225,,Sweden,Döderhultsvägen 26 57225 Sweden,usable,57.2655209,16.4325835,way,96063502,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Nacka,Maxi ICA Stormarknad,,,,,,Sweden,"59.3115038,18.1715981",coordinates_only,59.3115038,18.1715981,way,102982374,OpenStreetMap via Overpass API
