chain_requested,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
Apotek,Apoteket,Apoteket,Apoteket,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"60.1497347,15.1868852",coordinates_only,60.1497347,15.1868852,node,354979487,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,Västertorg,5,75243,Uppsala,Sweden,Västertorg 5 75243 Uppsala Sweden,strict,59.8407871,17.6018118,node,359391419,OpenStreetMap via Overpass API
Apotek,Apoteket Näckrosen,Apoteket,Apoteket AB (publ),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"58.5079166,13.145588",coordinates_only,58.5079166,13.145588,node,365895317,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,,Healthcare / pharmacy,,pharmacy,,,Årevägen,51,837 52,Åre,Sweden,Årevägen 51 837 52 Åre Sweden,strict,63.3955431,13.0869859,node,367034118,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.4363951,13.4392487",coordinates_only,59.4363951,13.4392487,node,410618096,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,Svartbäcksgatan,8,75320,Uppsala,Sweden,Svartbäcksgatan 8 75320 Uppsala Sweden,strict,59.8595088,17.6369109,node,412049224,OpenStreetMap via Overpass API
Apotek,Apoteksgruppen,,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"55.4579441,14.1796212",coordinates_only,55.4579441,14.1796212,node,412105147,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3155416,18.0344536",coordinates_only,59.3155416,18.0344536,node,412884406,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,Fruängstorget,6,129 52,Hägersten,Sweden,Fruängstorget 6 129 52 Hägersten Sweden,strict,59.2857782,17.9646066,node,413908672,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.1231489,18.1058945",coordinates_only,59.1231489,18.1058945,node,414554127,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3152859,14.5054335",coordinates_only,59.3152859,14.5054335,node,416015415,OpenStreetMap via Overpass API
Apotek,Apoteket Solvändan,Apoteket,Apoteket,Healthcare / pharmacy,,pharmacy,,,Förlösavägen,4,393 65,Kalmar,Sweden,Förlösavägen 4 393 65 Kalmar Sweden,strict,56.7342702,16.2955449,node,418125698,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3256579,18.0687354",coordinates_only,59.3256579,18.0687354,node,418239097,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"60.5607312,15.1310207",coordinates_only,60.5607312,15.1310207,node,427143509,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,,Healthcare / pharmacy,,pharmacy,,,Hammarby Allé,93,120 63,Stockholm,Sweden,Hammarby Allé 93 120 63 Stockholm Sweden,strict,59.304174,18.0932408,node,434473559,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (publ),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.0519654,12.7036828",coordinates_only,59.0519654,12.7036828,node,436356542,OpenStreetMap via Overpass API
Apotek,Apotek,,Kronans droghandel,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"64.7503586,20.9525811",coordinates_only,64.7503586,20.9525811,node,439394304,OpenStreetMap via Overpass API
Apotek,Apoteket Eken,Apoteket,Apoteket AB (publ),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"57.7686356,12.2664438",coordinates_only,57.7686356,12.2664438,node,440012420,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.1774039,17.4327754",coordinates_only,59.1774039,17.4327754,node,440627840,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3785235,13.4995539",coordinates_only,59.3785235,13.4995539,node,440855277,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,Apoteket AB (publ),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"58.7098762,13.8224728",coordinates_only,58.7098762,13.8224728,node,441990401,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,,Healthcare / pharmacy,,pharmacy,,,Hjälmarsvägen,26,120 53,Årsta,Sweden,Hjälmarsvägen 26 120 53 Årsta Sweden,strict,59.2975019,18.0529765,node,442073256,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,,Healthcare / pharmacy,,pharmacy,,,Gullmarsplan,1,121 40,Johanneshov,Sweden,Gullmarsplan 1 121 40 Johanneshov Sweden,strict,59.2986821,18.0802799,node,442077604,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Droghandel Apotek AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.393942,17.9025042",coordinates_only,59.393942,17.9025042,node,444358694,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (publ),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"57.6377438,18.3007467",coordinates_only,57.6377438,18.3007467,node,444414776,OpenStreetMap via Overpass API
Apotek,Apoteksgruppen,,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3803494,17.8173443",coordinates_only,59.3803494,17.8173443,node,445787279,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.0474881,17.3098669",coordinates_only,59.0474881,17.3098669,node,447917238,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket,Healthcare / pharmacy,,pharmacy,,,Valbovägen,309,81835,Valbo,Sweden,Valbovägen 309 81835 Valbo Sweden,strict,60.6343205,16.9925178,node,448659760,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Droghandel Apotek AB,Healthcare / pharmacy,,pharmacy,,,Kyrkogatan,27,79230,Mora,Sweden,Kyrkogatan 27 79230 Mora Sweden,strict,61.0038829,14.5373948,node,448882242,OpenStreetMap via Overpass API
Apotek,Apotek,Apoteksgruppen,Apoteksgruppen,Healthcare / pharmacy,,pharmacy,,,Västra Sjögatan,22,392 32,Kalmar,Sweden,Västra Sjögatan 22 392 32 Kalmar Sweden,strict,56.6650384,16.3642632,node,449813140,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3344266,18.0595308",coordinates_only,59.3344266,18.0595308,node,449884385,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,,Healthcare / pharmacy,,pharmacy,,,Nya Tanneforsvägen,60,582 42,Linköping,Sweden,Nya Tanneforsvägen 60 582 42 Linköping Sweden,strict,58.4057091,15.6424172,node,452268572,OpenStreetMap via Overpass API
Apotek,Apoteket Sundet,,Apoteket,Healthcare / pharmacy,,pharmacy,,,"Lasarettsvägen, Länssjukhuset",,392 44,Kalmar,Sweden,"Lasarettsvägen, Länssjukhuset 392 44 Kalmar Sweden",usable,56.6575621,16.3295094,node,452382260,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Droghandel Apotek AB,Healthcare / pharmacy,,pharmacy,,,Fäladstorget,20,22647,Lund,Sweden,Fäladstorget 20 22647 Lund Sweden,strict,55.7232465,13.2033497,node,453559809,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"61.7293941,17.0987344",coordinates_only,61.7293941,17.0987344,node,454156291,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,,,Healthcare / pharmacy,,pharmacy,,,,,,Hudiksvall,Sweden,Hudiksvall Sweden,usable,61.7290925,17.1057768,node,454156339,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat AB (556773-8249),Healthcare / pharmacy,,pharmacy,,,Torggatan,20,186 31,Vallentuna,Sweden,Torggatan 20 186 31 Vallentuna Sweden,strict,59.5351135,18.0789217,node,455998823,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Droghandel Apotek AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3389327,18.0599861",coordinates_only,59.3389327,18.0599861,node,457505152,OpenStreetMap via Overpass API
