chain_requested,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
Carrefour,Carrefour Contact,Carrefour Contact,,Grocery / convenience,convenience,,,,Route de Léognan,63,33140,Villenave-d'Ornon,France,Route de Léognan 63 33140 Villenave-d'Ornon France,strict,44.767527,-0.58049,way,139704549,OpenStreetMap via Overpass API
Carrefour,Carrefour Market,Carrefour Market,,Grocery / convenience,convenience,,,,Route de la Baie des Dames,59,98800,,France,Route de la Baie des Dames 59 98800 France,usable,-22.2354483,166.4424717,way,140355628,OpenStreetMap via Overpass API
Carrefour,Carrefour Express,Carrefour Express,,Grocery / convenience,convenience,,,,Boulevard Saint-Roch,34,06300,Nice,France,Boulevard Saint-Roch 34 06300 Nice France,strict,43.711226,7.2930375,way,142215947,OpenStreetMap via Overpass API
Carrefour,Carrefour City,Carrefour City,,Grocery / convenience,convenience,,,,Avenue Claude Debussy,3,60300,Senlis,France,Avenue Claude Debussy 3 60300 Senlis France,strict,49.206107,2.5659865,way,142258401,OpenStreetMap via Overpass API
Carrefour,Carrefour Contact,Carrefour Contact,Carrefour,Grocery / convenience,convenience,,,,,,,,France,"46.0305315,2.820864",coordinates_only,46.0305315,2.820864,way,143897514,OpenStreetMap via Overpass API
Carrefour,Carrefour Express,Carrefour Express,Carrefour,Grocery / convenience,convenience,,,,Avenue du Président Wilson,10,,,France,Avenue du Président Wilson 10 France,usable,47.6661995,-2.756265,way,144155776,OpenStreetMap via Overpass API
Carrefour,Carrefour City,Carrefour City,Stéphane Le Bihan,Grocery / convenience,convenience,,,,Rue Robert Schuman,23,56000,Vannes,France,Rue Robert Schuman 23 56000 Vannes France,strict,47.650361,-2.7701965,way,145201128,OpenStreetMap via Overpass API
Carrefour,Carrefour City,Carrefour City,Carrefour,Grocery / convenience,convenience,,,,,,,,France,"50.3008421,2.7995921",coordinates_only,50.3008421,2.7995921,way,145786725,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,,Grocery / convenience,convenience,,,,,,,,France,"48.6424489,2.2289381",coordinates_only,48.6424489,2.2289381,way,146090349,OpenStreetMap via Overpass API
Carrefour,Carrefour Market,Carrefour Market,,Grocery / convenience,convenience,,,,,,,,France,"48.6937892,2.2823176",coordinates_only,48.6937892,2.2823176,way,146300345,OpenStreetMap via Overpass API
Carrefour,Carrefour Market,Carrefour Market,Beresa,Grocery / convenience,convenience,,,,Rue Fernand Christ,16,02000,Laon,France,Rue Fernand Christ 16 02000 Laon France,strict,49.5703376,3.6085907,way,146671258,OpenStreetMap via Overpass API
Carrefour,Carrefour Market,Carrefour Market,,Grocery / convenience,convenience,,,,Rue Georges Chaulet,28,40100,Dax,France,Rue Georges Chaulet 28 40100 Dax France,strict,43.717361,-1.0507565,way,146758392,OpenStreetMap via Overpass API
Carrefour,Carrefour Market,Carrefour Market,Carrefour,Grocery / convenience,convenience,,,,,,,,France,"49.117852,2.4271088",coordinates_only,49.117852,2.4271088,way,147418064,OpenStreetMap via Overpass API
Carrefour,Carrefour,Carrefour,,Grocery / convenience,convenience,fuel,,,,,,,France,"50.6306778,3.0959112",coordinates_only,50.6306778,3.0959112,way,148035721,OpenStreetMap via Overpass API
Carrefour,Carrefour Express,Carrefour,,Grocery / convenience,convenience,,,,Faubourg de Mulhouse,72,68260,Kingersheim,France,Faubourg de Mulhouse 72 68260 Kingersheim France,strict,47.7897174,7.3361515,way,148569626,OpenStreetMap via Overpass API
