export_mode,chain_requested,requested_category,requested_subtype,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
chain,Tesla,mobility_fuel,charging,Tesla Linköping Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"58.435438,15.590951",coordinates_only,58.435438,15.590951,node,9045434288,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Ånge Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Borgsjöbyn,141,84197,Ånge,Sweden,Borgsjöbyn 141 84197 Ånge Sweden,strict,62.5373004,15.9190119,node,9111462153,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Sundsvall West Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Bergsgatan,127,853 50,Sundsvall,Sweden,Bergsgatan 127 853 50 Sundsvall Sweden,strict,62.3958974,17.2522177,node,9111462154,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Dorotea Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Parkvägen,6,91731,Dorotea,Sweden,Parkvägen 6 91731 Dorotea Sweden,strict,64.2614,16.417807,node,9355673237,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Björkliden Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Björklidenvägen,70,98193,Björkliden,Sweden,Björklidenvägen 70 98193 Björkliden Sweden,strict,68.407049,18.6764437,node,9355675551,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Borlänge Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Bygatan,33,78434,Borlänge,Sweden,Bygatan 33 78434 Borlänge Sweden,strict,60.4788092,15.4389011,node,9355685531,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Edsbruk Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,590 98,Edsbruk,Sweden,590 98 Edsbruk Sweden,usable,57.9800094,16.4825088,node,9355701339,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Jokkmokk Supercharger,Tesla,Tesla,Fuel / charging,,charging_station,,,Klippgatan,1,96232,Jokkmokk,Sweden,Klippgatan 1 96232 Jokkmokk Sweden,strict,66.605718,19.824967,node,9355706066,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Grums Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"59.365844,13.145131",coordinates_only,59.365844,13.145131,node,9355712450,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Hudiksvall Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Medskog Norra,5,82440,Hudiksvall,Sweden,Medskog Norra 5 82440 Hudiksvall Sweden,strict,61.7149198,17.0428058,node,9355732327,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Malung Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Lisaringen,,782 31,Malung,Sweden,Lisaringen 782 31 Malung Sweden,usable,60.6852869,13.7137031,node,9355738276,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Puoltikasvaara Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Stora vägen,1,98205,Puoltikasvaara,Sweden,Stora vägen 1 98205 Puoltikasvaara Sweden,strict,67.440227,21.1155921,node,9355797323,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Storlien Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Vintergatan,1,83799,Storlien,Sweden,Vintergatan 1 83799 Storlien Sweden,strict,63.309975,12.109254,node,9355801209,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Storuman Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Blå vägen,219,,Storuman,Sweden,Blå vägen 219 Storuman Sweden,usable,65.0926168,17.1076249,node,9355818619,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Torsby Supercharger,Tesla,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"60.129711,12.998155",coordinates_only,60.129711,12.998155,node,9355818639,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Sveg Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Vallarvägen,5,84233,Sveg,Sweden,Vallarvägen 5 84233 Sveg Sweden,strict,62.034522,14.366178,node,9355825068,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Sälen Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,780 67,Sälen,Sweden,780 67 Sälen Sweden,usable,61.1639807,13.2028074,node,9355843024,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Destination Charger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"58.7222763,11.3438877",coordinates_only,58.7222763,11.3438877,node,9355847317,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Örnsköldsvik Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Härnösandsvägen,4,891 31,Örnsköldsvik,Sweden,Härnösandsvägen 4 891 31 Örnsköldsvik Sweden,strict,63.2915813,18.7061606,node,9355848959,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Ystad Supercharger,Tesla,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"55.4340132,13.8398668",coordinates_only,55.4340132,13.8398668,node,9355858635,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Åsarna Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Olstavägen,45,84551,Åsarna,Sweden,Olstavägen 45 84551 Åsarna Sweden,strict,62.640526,14.371391,node,9355873628,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Söderhamn Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Stickvägen,5,826 40,Söderhamn,Sweden,Stickvägen 5 826 40 Söderhamn Sweden,strict,61.294919,17.0209945,node,9502975310,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Destination Charger,Tesla,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"59.3243975,18.094808",coordinates_only,59.3243975,18.094808,node,9610624202,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Destination Charger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Lilla Oslovägen,,45235,Strömstad,Sweden,Lilla Oslovägen 45235 Strömstad Sweden,usable,58.9457416,11.1930539,node,9715838606,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Strängnäs Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Kvartsgatan,6,64547,Strängnäs,Sweden,Kvartsgatan 6 64547 Strängnäs Sweden,strict,59.3280146,17.016397,node,9715838607,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Malå Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Storgatan,43,93333,Arvidsjaur,Sweden,Storgatan 43 93333 Arvidsjaur Sweden,strict,65.178995,18.7462163,node,9890156986,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Gäddede Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Hotellplan,2,833 61,Gäddede,Sweden,Hotellplan 2 833 61 Gäddede Sweden,strict,64.506688,14.1448906,node,9890172059,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Destination Charger,"Tesla, Inc.",,Fuel / charging,,charging_station,,,,,,,Sweden,"63.1922873,14.4882388",coordinates_only,63.1922873,14.4882388,node,9915421377,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"57.6516733,11.9512415",coordinates_only,57.6516733,11.9512415,node,10567917055,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Lycksele Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"64.596066,18.674414",coordinates_only,64.596066,18.674414,node,10738069949,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Kristianstad Supercharger,"Tesla, Inc.",,Fuel / charging,,charging_station,,,,,,,Sweden,"56.02249,14.11786",coordinates_only,56.02249,14.11786,node,10742011797,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Mantorp Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"58.3655946,15.2939856",coordinates_only,58.3655946,15.2939856,node,10806750277,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Dömle Herrgård Tesla Destination Charger,"Tesla, Inc.",,Fuel / charging,,charging_station,,,,,,,Sweden,"59.598064,13.4225328",coordinates_only,59.598064,13.4225328,node,11054736432,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Åre Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"63.395112,13.0878008",coordinates_only,63.395112,13.0878008,node,11199491756,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Ludvika Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Prästgårdsgatan,13,77132,Ludvika,Sweden,Prästgårdsgatan 13 77132 Ludvika Sweden,strict,60.151844,15.1918033,node,11199491757,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Örnsköldsvik sør Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Rondellplan,9,89131,Örnsköldsvik,Sweden,Rondellplan 9 89131 Örnsköldsvik Sweden,strict,63.2903282,18.7045434,node,11199491758,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Nacka Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Per Hallströms Väg,15,13139,Nacka,Sweden,Per Hallströms Väg 15 13139 Nacka Sweden,strict,59.3114591,18.175273,node,11199491759,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Örebro Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Boglundsgatan,2,70374,Örebro,Sweden,Boglundsgatan 2 70374 Örebro Sweden,strict,59.2977873,15.2063364,node,11199491761,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Kalmar Giraffen Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"56.6714592,16.3341663",coordinates_only,56.6714592,16.3341663,node,11199491762,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Ljusdal Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,Norra Järnvägsgatan,36,82732,Ljusdal,Sweden,Norra Järnvägsgatan 36 82732 Ljusdal Sweden,strict,61.8276168,16.0948891,node,11199491763,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Sundsvall North Supercharger,"Tesla, Inc.","Tesla, Inc.",Fuel / charging,,charging_station,,,Antennvägen,11,863 37,Sundsvall,Sweden,Antennvägen 11 863 37 Sundsvall Sweden,strict,62.44283,17.3453001,node,11752640404,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"57.0634309,12.3527868",coordinates_only,57.0634309,12.3527868,node,11850834251,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Destination Charger,"Tesla, Inc.",,Fuel / charging,,charging_station,,,,,,,Sweden,"59.3680436,12.1412069",coordinates_only,59.3680436,12.1412069,node,11958290944,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Gränna Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"57.9249858,14.3199114",coordinates_only,57.9249858,14.3199114,node,12881510307,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"59.2008773,17.6631433",coordinates_only,59.2008773,17.6631433,node,13065210008,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Karlstad Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"59.3814977,13.4673872",coordinates_only,59.3814977,13.4673872,way,1178301262,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Enköping Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"59.6589868,17.0769578",coordinates_only,59.6589868,17.0769578,way,1205866161,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Helsingborg Supercharger,Tesla Supercharger,Tesla,Fuel / charging,,charging_station,,,,,,,Sweden,"56.0916959,12.765849",coordinates_only,56.0916959,12.765849,way,1267566916,OpenStreetMap via Overpass API
chain,Tesla,mobility_fuel,charging,Tesla Destination Charger,Tesla,,Fuel / charging,,charging_station,,,,,,,Sweden,"63.1758385,14.6922875",coordinates_only,63.1758385,14.6922875,way,1434524823,OpenStreetMap via Overpass API
